hgnc_symbol,uniprotswissprot
C5AR1,P21730
MRAS,""
PSD,""
RPL7,""
NAA20,P61599
PTPN13,Q12923
PTPN13,""
RPL7,P18124
MYOM1,P52179
NAA20,""
CUEDC2,Q9H467
WASHC3,Q9Y3C0
LRP8,Q14114
SERPINF1,P36955
MYOM1,""
C10orf95,""
FBXL6,Q8N531
CD37,""
SALL3,Q9BXA9
SALL3,""
WDR7,""
WDR76,""
FAM3D,Q96BQ1
MFSD13A,Q14CX5
CCDC112,Q8NEF3
MFSD13A,""
FAM3D,""
ADCK5,""
LRP8,""
WDR76,Q9H967
CPQ,Q9Y646
CCDC112,""
SEMA3C,Q99985
CPQ,""
GLRA3,O75311
RNF7,Q9UBF6
ACTR1A,""
SEMA3C,""
GNPTAB,Q3T906
SMYD4,Q8IYR2
GNPTAB,""
SMYD4,""
RNF7,""
ACTR1A,P61163
CD37,P11049
TEP1,Q99973
ADCK5,Q3MIX3
RPA1,""
TMEM168,Q9H0V1
PLAU,""
TMEM168,""
PDIA5,Q14554
SH3RF1,Q7Z6J0
TCEANC2,Q96MN5
SH3RF1,""
TCEANC2,""
AIFM3,Q96NN9
CEP78,Q5JTW2
MAPK3,P27361
MAPK3,""
AIFM3,""
RPA1,P27694
PDIA5,""
CEP78,""
KLHL33,""
CPSF1,""
SLCO6A1,Q86UG4
PLAU,P00749
SLCO6A1,""
LAMA4,""
KLHL33,A6NCF5
DERL1,Q9BUN8
BUB1B,O60566
GALNT14,Q96FL9
BOLA2B,Q9H3K6
BOLA2B,""
L1CAM,P32004
BUB1B,""
DERL1,""
WDR7,Q9Y4E6
TES,Q9UGI8
SLC35A5,""
EI24,O14681
TES,""
ANKRD1,Q15327
SOX9,P48436
EI24,""
SLC35A5,Q9BS91
CRNKL1,Q9BZJ0
USP1,""
L1CAM,""
BORCS8,Q96FH0
BORCS8,""
CRNKL1,""
SPPL2C,Q8IUH8
LAMA4,Q16363
STH,Q8IWL8
CENATAC,Q86UT8
GALNT14,""
ZNF716,A6NP11
RNASEH2B,Q5TBB1
MTFR1,""
CENATAC,""
OSGEP,Q9NPF4
AUH,Q13825
RIN2,Q8WYP3
FRK,P42685
FCHSD1,Q86WN1
POTEB,A0A0A6YYL3
RIN2,""
RPS25,""
OSGEP,""
VIP,P01282
LMF2,Q9BU23
CD2BP2,O95400
VIP,""
USP1,O94782
CD22,""
FCHSD1,""
RENBP,P51606
RNASEH2B,""
DCLK2,Q8N568
CNOT11,Q9UKZ1
RENBP,""
CNOT11,""
HAL,P42357
DCLK2,""
DLL1,O00548
MTFR1,Q15390
DLL1,""
RPS25,P62851
PPIC,P45877
HAL,""
TACR1,P25103
TTC33,""
ESYT3,A0FGR9
AK5,Q9Y6K8
TBC1D10B,Q4KMP7
RNF24,Q9Y225
TTC33,Q6PID6
ESYT3,""
TBC1D10B,""
GDA,""
AK5,""
GPR139,Q6DWJ6
GPR139,""
TSPAN5,""
GDA,Q9Y2T3
HCFC1,""
KRT77,Q7Z794
GIPC2,Q8TF65
LAMA1,P25391
CPSF1,Q10570
KRT77,""
KLHL32,Q96NJ5
KLHL32,""
TSPAN5,P62079
TRAPPC4,""
TRAPPC4,Q9Y296
GAS2L3,Q86XJ1
BTNL9,Q6UXG8
GAS2L3,""
BTNL9,""
ANGPTL3,Q9Y5C1
FAM118B,Q9BPY3
FAM118B,""
PPM1B,""
ING1,Q9UK53
CETN1,Q12798
SULT1A4,P0DMN0
PANX3,Q96QZ0
ING1,""
HCFC1,P51610
PPM1B,O75688
SULT1A4,""
FNIP2,Q9P278
TMEM187,Q14656
TMEM187,""
DNAJC6,""
TIMM8A,""
BCKDHB,P21953
NSFL1C,Q9UNZ2
FNIP2,""
NSFL1C,""
TIMM8A,O60220
DNAJC6,O75061
NPY1R,P25929
NPY1R,""
RPL36A,""
JAK2,""
SCAND1,P57086
RPL36A,P83881
MRPS9,P82933
NCAPH2,Q6IBW4
SLC39A4,""
NCAPH2,""
MRPS9,""
RPL36A-HNRNPH2,""
AK4,""
APEX1,P27695
APEX1,""
AK4,P27144
HNRNPH2,P55795
JAK2,O60674
TYMS,P04818
CIB4,A0PJX0
LEPROT,""
LEPROT,O15243
TM7SF3,Q9NS93
SCO2,O43819
TM7SF3,""
TMA16,""
TMA16,Q96EY4
SCO2,""
IMPG1,Q17R60
IMPG1,""
PPARGC1B,Q86YN6
CCNQ,Q8N1B3
TYMP,""
CD22,P20273
CCNQ,""
MTRF1L,""
MTRF1L,Q9UGC7
PPARGC1B,""
WASHC2A,""
CHORDC1,Q9UHD1
CACHD1,Q5VU97
STAG1,Q8WVM7
CHORDC1,""
SLC9A2,Q9UBY0
CACHD1,""
TMC1,Q8TDI8
OR6S1,Q8NH40
TMC1,""
WASHC2A,Q641Q2
RNASE4,P34096
RSPO3,Q9BXY4
DKKL1,""
PDLIM5,Q96HC4
EDDM3A,Q14507
STAG1,""
FUCA2,Q9BTY2
FUCA2,""
SLC6A8,P48029
EDDM3B,P56851
GLG1,Q92896
SLC6A8,""
RNASE6,Q93091
TMEM252,Q8N6L7
DKKL1,Q9UK85
RNASE1,P07998
SLC17A5,Q9NRA2
RNASE1,""
ZNF365,Q70YC5
SPOP,O43791
RNASE2,P10153
SNX12,""
HACD2,Q6Y1H2
HACD2,""
GLG1,""
ZNF365,""
VPS28,Q9UK41
SNX12,Q9UMY4
RPL31,P62899
SLC39A2,Q9NP94
MCOLN2,Q8IZK6
RPL31,""
PROK2,Q9HC23
PPP1R37,O75864
MCOLN2,""
PPP1R37,""
CSMD3,Q7Z407
CSMD3,""
CXorf65,A6NEN9
C16orf95,Q9H693
CXorf65,""
C16orf95,""
SLC25A42,Q86VD7
ENOSF1,Q7L5Y1
SPOP,""
HCK,P08631
GARNL3,""
ST6GALNAC5,Q9BVH7
TPPP2,P59282
ST6GALNAC5,""
TPPP2,""
PLPP4,Q5VZY2
VPS28,""
MRTFB,""
THEM6,Q8WUY1
THEM6,""
RNASE13,Q5GAN3
BAALC,Q8WXS3
GJB1,P08034
TYMP,P19971
HCK,""
RNASE7,Q9H1E1
SKIDA1,Q1XH10
RNASE8,Q8TDE3
PKNOX2,Q96KN3
NPS,P0C0P6
PKNOX2,""
ATG4C,""
ACP7,""
SLC52A2,Q9HAB3
SLC52A2,""
ARHGEF40,""
SNTB1,Q13884
SNTB1,""
KLHDC7B,""
RLIM,Q9NVW2
KLHDC7B,Q96G42
SYCE3,A1L190
CCT2,P78371
ACP7,Q6ZNF0
ANGPTL5,Q86XS5
ANGPTL5,""
ENOSF1,""
OLAH,""
TMEM131,Q92545
ABCG1,P45844
NCCRP1,Q6ZVX7
NEXMIF,Q5QGS0
NEXMIF,""
TMEM131,""
DUSP21,Q9H596
CHKB-CPT1B,""
OLAH,Q9NV23
WASF1,Q92558
ATG4C,Q96DT6
ABCG1,""
CEP126,""
DIPK2B,Q9H7Y0
APPL1,Q9UKG1
BAG3,O95817
SEMA6D,Q8NFY4
BAG3,""
MRTFB,Q9ULH7
SEMA6D,""
IFNL1,Q8IU54
UBE2QL1,A1L167
CCT2,""
WASF1,""
SLC35B1,P78383
CEP126,Q9P2H0
GARNL3,Q5VVW2
APPL1,""
LRRC30,A6NM36
SOX14,O95416
RNF149,""
PRPS1,""
RNF149,Q8NC42
FBXO5,Q9UKT4
NECTIN3,""
ADGRL4,""
GCFC2,""
SLC35B1,""
PRPS1,P60891
SLC12A2,P55011
SLC12A2,""
PRKG1,Q13976
PPIL4,Q8WUA2
PRKG1,""
FBXW5,""
PPIL4,""
NECTIN3,Q9NQS3
HYOU1,Q9Y4L1
COL3A1,""
HYOU1,""
EIF3CL,B5ME19
ZNF469,Q96JG9
GMFG,""
ZNF469,""
GAGE2E,Q4V326
GAGE12B,""
FBXW5,Q969U6
UBTD2,Q8WUN7
VCL,""
PAGE1,O75459
C8G,P07360
CHKB,Q9Y259
C8G,""
PDLIM5,""
ZC2HC1B,Q5TFG8
SAP30L,Q9HAJ7
GINM1,""
DDX27,""
GINM1,Q9NU53
SAMD5,Q5TGI4
SAMD5,""
FAM117A,Q9C073
LCN12,Q6JVE5
MTG2,""
ARHGEF40,Q8TER5
ADGRL4,Q9HBW9
MTG2,Q9H4K7
OR4F4,""
SOX12,O15370
ATP6V1H,Q9UI12
GMFG,O60234
CST1,P01037
PSMB1,P20618
PRICKLE2,Q7Z3G6
RBMX,P38159
SLC2A12,Q8TD20
LCN12,""
PRICKLE2,""
CST4,P01036
GJA9,P57773
PTGDS,""
ATP6V1H,""
ULBP1,Q9BZM6
APPL2,Q8NEU8
LMO7,""
FAM117A,""
RBMX,""
LMO7,Q8WWI1
ZIC1,""
RPS3,""
SOBP,A7XYQ1
MAPK8IP2,Q13387
SOBP,""
PTGDS,P41222
ZIC1,Q15915
APPL2,""
ARSA,""
ZNF219,Q9P2Y4
DLX3,O60479
LCNL1,Q6ZST4
DLX3,""
ZNF219,""
PENK,""
VCL,P18206
CLIC3,O95833
PENK,P01210
GPR101,Q96P66
OR5AU1,""
RUVBL1,""
OR5AU1,Q8NGC0
TCEAL1,Q15170
ZDHHC14,Q8IZN3
FUT7,Q11130
DNAAF9,Q5TEA3
AKAP13,""
AKAP13,Q12802
GCFC2,P16383
NEURL2,""
RPS3,P23396
TMCC3,Q9ULS5
NEURL2,Q9BR09
TMCC3,""
PAF1,Q8N7H5
PAF1,""
MAP1LC3B2,A6NCE7
ZDHHC14,""
LRAT,""
FHOD3,Q2V2M9
VPS11,""
MORF4L2,Q15014
MED29,""
NPDC1,Q9NQX5
NPDC1,""
LRAT,O95237
"",G9CGD6
NRG2,O14511
MED29,Q9NX70
GXYLT1,Q4G148
ING2,Q9H160
ING2,""
FHOD3,""
MORF4L2,""
ESF1,Q9H501
SUPT16H,Q9Y5B9
SLC37A4,O43826
DPM1,""
SLC37A4,""
SUFU,Q9UMX1
TMEM31,Q5JXX7
SLC25A53,Q5H9E4
ENTPD2,Q9Y5L3
SUPT16H,""
TTLL7,Q6ZT98
RAB21,Q9UL25
PLP2,Q04941
NRG2,""
SMAD9,O15198
SMAD9,""
RUVBL1,Q9Y265
PDE7B,Q9NP56
ANG,P03950
PDE7B,""
FAM200C,Q8IZ13
SAPCD2,Q86UD0
CCDC38,""
TRMT61A,Q96FX7
TRMT61A,""
DPM1,O60762
TTLL7,""
TMED7-TICAM2,""
ARSA,P15289
KCNG1,Q9UIX4
KCNG1,""
CCDC38,Q502W7
UAP1L1,Q3KQV9
UAP1L1,""
PRICKLE3,O43900
WFDC13,Q8IUB5
PRICKLE3,""
PLEKHG2,Q9H7P9
PLEKHG2,""
TMEM210,A6NLX4
SPINT4,Q6UDR6
TMEM210,""
FSTL5,Q8N475
TMEM191C,""
COMMD10,Q9Y6G5
DNAH6,Q9C0G6
COMMD10,""
TMEM191C,A6NGB0
CTDP1,Q9Y5B0
ZNHIT6,Q9NWK9
TNFAIP8,O95379
TULP4,Q9NRJ4
TNFAIP8,""
NCOA5,Q9HCD5
NCOA5,""
CTDP1,""
EIF3C,Q99613
TULP4,""
SH2B3,Q9UQQ2
SH2B3,""
EIF3C,""
DIP2A,Q14689
ANAPC2,Q9UJX6
DIP2A,""
ZNF740,Q8NDX6
PARP4,Q9UKK3
SEL1L2,Q5TEA6
SEL1L2,""
LAPTM4A,Q15012
RPS16,P62249
SSNA1,O43805
RPS16,""
SSNA1,""
SETBP1,Q9Y6X0
GDPD5,Q8WTR4
TPRN,""
KRCC1,Q9NPI7
AIG1,""
XRCC3,O43542
FAM110C,Q1W6H9
EFNB2,P52799
RAB36,O95755
SETBP1,""
TPRN,Q4KMQ1
RAB36,""
AIG1,Q9NVV5
H1-0,P07305
ARGLU1,Q9NWB6
CLDN5,""
CLDN5,O00501
TMEM203,Q969S6
PIGQ,""
RNF224,P0DH78
NTAQ1,Q96HA8
S100B,P04271
OTX1,P32242
FAM227A,F5H4B4
S100B,""
SUPT5H,""
FAM227A,""
DHFR,P00374
NTAQ1,""
DHFR,""
SLC34A3,""
OTX1,""
XRCC3,""
SLC34A3,Q8N130
APOB,""
GDPD5,""
CEP131,Q9UPN4
RIMBP3C,A6NJZ7
TDRD15,B5MCY1
C22orf31,O95567
UBXN2A,P68543
TUBB4B,P68371
CEP131,""
OR4K2,Q8NGD2
KATNA1,O75449
SFRP1,Q8N474
OR4K5,Q8NGD3
OR4K1,Q8NGD4
SFRP1,""
OR4K15,Q8NH41
OR4K14,Q8NGD5
CIMIP2A,Q6J272
OR4K13,Q8NH42
CIMIP2A,""
OR4K17,Q8NGC6
OR4N5,Q8IXE1
OR11G2,""
OR11H4,""
HMGB1,P09429
CCNB1IP1,Q9NPC3
HMGB1,""
ALK,""
ARHGAP10,A1A4S6
NDUFAF8,A1L188
CCNB1IP1,""
NDUFAF8,""
KATNA1,""
TGFB3,P10600
PPM1F,P49593
PPM1F,""
NELFB,Q8WX92
PARP2,Q9UGN5
TOR4A,Q9NXH8
PARP2,""
TGFB3,""
ARHGAP10,""
NRARP,Q7Z6K4
ALK,Q9UM73
SH3PXD2B,""
SH3PXD2B,A1X283
PPP1R14D,Q9NXH3
MOGAT2,Q3SYC2
USPL1,Q5W0Q7
PIGQ,Q9BRB3
TUBE1,Q9UJT0
KCTD16,Q68DU8
MROH7,Q68CQ1
PPP1R14D,""
CEP70,Q8NHQ1
ALOX5AP,""
ENPP6,Q6UWR7
TUBE1,""
SNX33,Q8WV41
PIP4P1,Q86T03
ALOX5AP,P20292
PIP4P1,""
ENPP6,""
SNX33,""
HAND1,O96004
PNP,P00491
CEP70,""
PNP,""
RNASE10,Q5GAN6
OR4K3,""
MEDAG,Q5VYS4
MEDAG,""
LTV1,Q96GA3
OR4Q2,""
OR11H7,Q8NGC8
TEX26,Q8N6G2
SLC38A10,Q9HBR0
TRIM55,Q9BYV6
MROH7,""
TEX26,""
RWDD4,Q6NW29
SLC38A10,""
NRAP,Q86VF7
NR1H4,Q96RI1
NR1H4,""
CLMN,Q96JQ2
USP12,O75317
USP12,""
PPM1L,Q5SGD2
RWDD4,""
CLMN,""
CRH,P06850
SAMHD1,Q9Y3Z3
FAAP100,""
HAS2,Q92819
AFG1L,Q8WV93
NRAP,""
AFG1L,""
PTGFR,P43088
SAMHD1,""
PTGFR,""
TMEM179,""
TMEM179,Q6ZVK1
SMIM11,""
TMEM184C,Q9NVA4
TMEM184C,""
SMIM11,P58511
ARHGAP31,Q2M1Z3
ARHGAP31,""
GTF3A,Q92664
GTF3A,""
FAAP100,Q0VG06
C21orf140,B9A014
LMO4,P61968
SMIM34,""
SMIM34,A8MWV9
CACNA1F,O60840
MTIF3,Q9H2K0
TEK,Q02763
SERPINH1,P50454
SERPINH1,""
SIVA1,""
ATAD2,""
CACNA1F,""
PTTG1,O95997
CATSPER2,Q96P56
PTTG1,""
UBE3D,Q7Z6J8
MASTL,Q96GX5
TEK,""
PRPF38A,Q8NAV1
CATSPER2,""
SIVA1,O15304
PARP14,Q460N5
TNFRSF13B,""
PARP14,""
MASTL,""
UBE3D,""
PFDN5,Q99471
PFDN5,""
MYG1,Q9HB07
MYG1,""
ZBTB42,B2RXF5
AAAS,""
AAAS,Q9NRG9
TNFRSF13B,O14836
ZNF462,""
KRTAP6-3,Q3LI67
TOP3B,O95985
ANKRD26,""
SP7,Q8TDD2
TOP3B,""
MS4A7,Q9GZW8
SP7,""
MS4A7,""
CCDC22,O60826
ANKRD26,Q9UPS8
PLD6,Q8N2A8
BAG2,O95816
SUPT5H,O00267
TGFA,P01135
OLIG3,Q7RTU3
PIGK,Q92643
IL3,P08700
PIGK,""
PPP1R3F,Q6ZSY5
TGFA,""
GMEB2,""
CHCHD6,Q9BRQ6
PPP1R3F,""
MS4A14,""
CHCHD6,""
IL15,P40933
GMEB2,Q9UKD1
GUCA2A,Q02747
ZNF462,Q96JM2
STMN3,Q9NZ72
ZNF182,P17025
ATAD2,Q6PL18
STMN3,""
FLCN,Q8NFG4
TNFRSF6B,O95407
FLCN,""
NPY5R,Q15761
ACTL7B,Q9Y614
RAB23,Q9ULC3
ACTL7A,Q9Y615
OR5T2,""
OR5T3,""
MS4A14,Q96JA4
OR8U1,Q8NH10
SYNPR,Q8TBG9
OR8U3,Q8NH85
OR5M9,Q8NGP3
SPMIP2,Q96LM5
OR5M3,Q8NGP4
SYNPR,""
"",P0C617
OR5M8,Q8NGP6
ATP2A1,O14983
ATP2A1,""
ZNF630,""
ZNF630,Q2M218
SRSF7,Q16629
MS4A5,Q9H3V2
MS4A5,""
LATS1,O95835
CCDC157,""
NPBWR1,P48145
TIMM50,Q3ZCQ8
MT1H,P80294
MT1H,""
CCDC157,Q569K6
LATS1,""
SRSF7,""
MT3,""
MT3,P25713
TIMM50,""
SATL1,Q86VE3
SATL1,""
OAF,Q86UD1
OAF,""
UBQLN2,Q9UHD9
CIMAP1B,""
CIMAP1B,A8MYP8
SLITRK2,Q9H156
IFNL3,""
IFNL3,Q8IZI9
RGS17,Q9UGC6
IFNL2,Q8IZJ0
SHISA8,B8ZZ34
LRFN1,Q9P244
SHISA8,""
CIMIP2C,A6NJV1
CIMIP2C,""
IFNL4,K9M1U5
ARFRP1,Q13795
PDIA2,Q13087
INPP5D,Q92835
DACT2,Q5SW24
PRPS2,""
FARP1,""
PDIA2,""
FARP1,Q9Y4F1
PLPP5,Q8NEB5
INPP5D,""
JOSD1,Q15040
JOSD1,""
SLC35F1,Q5T1Q4
DLL3,Q9NYJ7
TNFRSF12A,""
PRPS2,P11908
DLL3,""
ARHGAP26,Q9UNA1
EID2B,Q96D98
PPP1R21,""
PLPP5,""
EID2,Q8N6I1
POU2F3,Q9UKI9
TNFRSF12A,Q9NP84
ARHGAP26,""
TLL1,O43897
RNF113B,Q8IZP6
PNMA8A,Q86V59
TLL1,""
ZNF496,Q96IT1
POU2F3,""
PNMA8A,""
ZNF496,""
SLIT1,O75093
PNMA8B,Q9ULN7
ATG16L1,""
SLIT1,""
VN1R5,Q7Z5H4
TMEM255B,Q8WV15
SCGB3A2,""
TMEM255B,""
COPS3,Q9UNS2
HCFC1R1,Q9NWW0
PPP1R14B,Q96C90
PPP1R14B,""
SCGB3A2,Q96PL1
SULT4A1,Q9BR01
HCFC1R1,""
COPS3,""
SULT4A1,""
C13orf46,A0A1B0GUA9
CALM3,""
CATSPERZ,Q9NTU4
CATSPERZ,""
PNPLA5,Q7Z6Z6
PNPLA5,""
PNLIPRP1,""
PNLIPRP1,P54315
GINS3,Q9BRX5
SPMIP5,Q8WW14
NT5M,""
NET1,Q7Z628
PNLIPRP2,""
NET1,""
ZGPAT,Q8N5A5
NT5M,Q9NPB1
CALM3,P0DP25
PRDX5,P30044
CALML5,Q9NZT1
CALML3,P27482
MED9,""
ZGPAT,""
MED9,Q9NWA0
DACT3,Q96B18
FBXO30,Q8TB52
MAP9,Q49MG5
RASD1,Q9Y272
DACT3,""
MAP9,""
TBPL1,""
ASB13,Q8WXK3
TBPL1,P62380
PPP1R21,Q6ZMI0
TCF21,O43680
ZC3H14,Q6PJT7
SGCE,""
ZC3H14,""
FCER1A,P12319
FCER1A,""
CEP55,Q53EZ4
CEP55,""
OR10J1,""
OR10J1,P30954
OR10J3,Q5JRS4
OR10J4,P0C629
RPL27,P61353
CRB3,Q9BUF7
GSTA3,""
SGCE,O43556
LMF1,Q96S06
FFAR4,Q5NUL3
FFAR4,""
RPL27,""
SLC2A4RG,Q9NR83
MYH9,P35579
GSTA3,Q16772
OSBPL8,Q9BZF1
LMF1,""
CCDC88B,A6NC98
PDE6C,P51160
MYH9,""
OR52J3,Q8NH60
OR52E2,Q8NGJ4
GSTA4,O15217
"",Q8NGJ3
GSTA4,""
B4GALNT2,Q8NHY0
TCF12,Q99081
CPXM1,Q96SM3
OSBPL8,""
KDM8,Q8N371
C20orf141,Q9NUB4
GCM1,Q9NP62
FRA10AC1,Q70Z53
TMEM239,Q8WW34
KDM8,""
CCDC88B,""
OR2B8P,""
OR2B6,P58173
PCED1A,""
RASD2,Q96D21
NSD3,Q9BZ95
AADAT,Q8N5Z0
TCF12,""
MB,""
UNC93A,""
AADAT,""
NSD3,""
LGI1,""
GPRC5C,""
GPRC5C,Q9NQ84
UBE2N,P61088
IFI35,P80217
CD300A,""
CD300A,Q9UGN4
MB,P02144
UBE2N,""
CD300LB,A8K4G0
CD300LB,""
CD300C,Q08708
DENND1C,Q8IV53
CD300LD,Q6UXZ3
CD300H,A0A0K2S4Q6
UNC93A,Q86WB7
NXPH3,O95157
NXPH3,""
PCED1A,Q9H1Q7
TTLL2,""
DENND1C,""
ATRX,P46100
ATRX,""
CYB5D2,Q8WUJ1
TTLL2,Q9BWV7
CCN4,""
TTC8,""
APOL6,Q9BWW8
PPP1R3G,B7ZBB8
ADAM29,""
CYB5D2,""
ALG10,Q5BKT4
ALG10,""
APOL5,Q9BWW9
RPS6KA4,""
CCN4,O95388
ATG16L1,Q676U5
RPS6KA4,O75676
ADAM29,Q9UKF5
TNFSF9,P41273
CD70,P32970
APOL2,Q9BQE5
LGI1,O95970
TSGA10,Q9BZW7
CD70,""
TSGA10,""
AGBL3,Q8NEM8
COL4A1,P02462
ASB5,Q8WWX0
APOL2,""
ASB5,""
COL4A1,""
SLC43A2,Q8N370
AGBL3,""
RRAGB,Q5VZM2
RRAGB,""
CDNF,Q49AH0
CYP11B1,P15538
SPATA4,Q8NEY3
SLC22A11,Q9NSA0
SPATA4,""
CYP11B1,""
SLC43A2,""
SCAF11,Q99590
SEC14L6,B5MCN3
VSIG1,Q86XK7
SEC14L6,""
VSIG1,""
SLITRK5,O94991
NAF1,""
SCAF11,""
SLC22A11,""
GABRA1,P14867
GABRA1,""
C13orf42,A0A1B0GVH6
MFSD9,Q8NBP5
NAF1,Q96HR8
CFP,P27918
KIAA1671,Q9BY89
ELP1,""
VPS16,Q9H269
CFP,""
TTC8,Q8TAM2
ELP1,O95163
CLDN24,A6NM45
KIAA1671,""
B3GALNT1,O75752
MFSD9,""
CAV2,P51636
B3GALNT1,""
VPS16,""
CAV2,""
TTI2,Q6NXR4
TNMD,Q9H2S6
TTI2,""
CRYBB3,P26998
CRYBB3,""
OTOA,Q7RTW8
INF2,""
HSPA14,Q0VDF9
HSPA14,""
OTOA,""
SLC5A7,Q9GZV3
CRYBB2,P43320
MANBAL,Q9NQG1
MANBAL,""
ANKRD7,""
TCF15,Q12870
ANKRD7,Q92527
CNNM2,Q9H8M5
SLC22A12,Q96S37
PYDC1,Q8WXC3
CHRNA7,""
RPEL1,Q2QD12
COG6,Q9Y2V7
SAG,""
COG6,""
ABITRAM,Q9NX38
BCAS4,Q8TDM0
BCAS4,""
ABITRAM,""
INA,Q16352
GFPT2,O94808
SPATA25,Q9BR10
GFPT2,""
BCHE,P06276
BCHE,""
ARHGAP36,Q6ZRI8
PCGF6,Q9BYE7
ARHGAP36,""
CTNNAL1,Q9UBT7
PLXNC1,O60486
CTNNAL1,""
TRIP10,""
PLXNC1,""
BOD1,Q96IK1
ARFIP1,P53367
QRFP,P83859
IL1B,P01584
CSF2RB,P32927
BOD1,""
PCGF6,""
IL1B,""
ZNF277,Q9NRM2
RUBCNL,Q9H714
CSF2RB,""
ZNF277,""
RUBCNL,""
SAG,P10523
FIBCD1,Q8N539
FIBCD1,""
NXF2,Q9GZY0
TENM3,""
NAT16,Q8N8M0
MYF6,P23409
DBNDD2,Q9BQY9
NAT16,""
TMSB15A,P0CG34
PDE7A,Q13946
KCND2,Q9NZV8
PRDM12,Q9H4Q4
KCND2,""
PRDM12,""
TENM3,Q9P273
SULT1A3,P0DMM9
IER5L,Q5T953
SULT1A3,""
ATP5MK,Q96IX5
GRK3,P35626
TRIP10,Q15642
PDE7A,""
GRK3,""
STOX2,""
RIPOR2,Q9Y4F9
RIPOR2,""
RMI2,Q96E14
RMI2,""
STOX2,Q9P2F5
IMMP2L,Q96T52
ARHGEF26,Q96DR7
DBNDD2,""
C20orf204,A0A1B0GTL2
TNP2,""
C20orf204,""
SLC35G1,Q2M3R5
IMMP2L,""
CRIM1,Q9NZV1
SPCS3,P61009
CRIM1,""
SRMS,Q9H3Y6
TNP2,Q05952
SPATA31A1,Q5TZJ5
DUSP15,""
PRM3,Q9NNZ6
SLC35G1,""
SLU7,O95391
SLU7,""
RAB19,A4D1S5
TRIML1,Q8N9V2
SPAG1,Q07617
PRM2,P04554
EIF3K,""
SLC46A2,Q9BY10
SLC46A2,""
BMX,P51813
TM4SF1,P30408
RPL21,P46778
RPL21,""
PRM1,P04553
TM4SF1,""
RASL11A,Q6T310
SNN,O75324
SLC31A2,O15432
DUSP15,Q9H1R2
SLC31A2,""
OR1K1,Q8NGR3
TCAF1,Q9Y4C2
METAP2,""
EDNRA,P25101
ATMIN,O43313
ATP10B,""
DCBLD1,Q8N8Z6
SH2D3A,Q9BRG2
TCAF1,""
ATMIN,""
DMC1,Q14565
SUCLG1,P53597
DMC1,""
ATP10B,O94823
SUCLG1,""
DCBLD1,""
SH2D3A,""
EIF3K,Q9UBQ5
NOC3L,Q8WTT2
FOXA3,""
TSPYL1,Q9H0U9
FOXA3,P55318
IRF2BP1,Q8IU81
METAP2,P50579
ZHX3,""
MYPOP,Q86VE0
NANOS2,P60321
ZHX3,Q9H4I2
SLC9A9,Q8IVB4
SIM1,P81133
SLC9A9,""
STMN2,Q93045
STMN2,""
SELENOO,Q9BVL4
TBC1D12,O60347
DOCK7,Q96N67
AP1S2,""
AP1S2,P56377
CCDC61,Q9Y6R9
TUBB8,Q3ZCM7
TUBB8,""
GCSH,P23434
GCSH,""
SND1,Q7KZF4
CCDC61,""
APEX2,Q9UBZ4
DOCK7,""
PGLYRP1,O75594
SND1,""
SLC25A26,Q70HW3
BCO1,""
MPRIP,""
RC3H2,Q9HBD1
RASGRP2,Q7LDG7
IGFL3,Q6UXB1
SCUBE1,Q8IWY4
SCUBE1,""
NEIL2,Q969S2
CHRNA7,P36544
DLX5,P56178
BCO1,Q9HAY6
SLC25A26,""
RC3H2,""
MBL2,P11226
NEIL2,""
MPRIP,Q6WCQ1
SMIM30,A4D0T7
DMWD,""
ZBTB6,Q15916
DMWD,Q09019
NEGR1,Q7Z3B1
ZBTB26,Q9HCK0
DLGAP4,Q9Y2H0
JPH1,Q9HDC5
SHISAL2A,Q6UWV7
NUP153,P49790
JPH1,""
CDHR3,""
SCARF2,Q96GP6
GPR31,O00270
EML4,Q9HC35
ACTN4,O43707
RASGRP2,""
ACTN4,""
DLGAP4,""
EML4,""
ALAS2,P22557
OR11H1,""
RSPH6A,""
EMC7,Q9NPA0
EMC7,""
DNTTIP2,Q5QJE6
INF2,Q27J81
DNTTIP2,""
LGALS4,""
ALAS2,""
RSPH6A,Q9H0K4
PGBD4,Q96DM1
LZTS3,O60299
RABGAP1,Q9Y3P9
SH3RF3,Q8TEJ3
FARS2,O95363
PDPR,Q8NCN5
FARS2,""
TMEM74B,Q9NUR3
CDHR3,Q6ZTQ4
PAGE2B,Q5JRK9
PAGE2B,""
LIPF,P07098
FGL1,Q08830
PDPR,""
ZNF426,Q9BUY5
ZNF426,""
PAGE2,Q7Z2X7
PAGE2,""
TMEM182,""
LGALS4,P56470
RABGAP1,""
EXOSC6,Q5RKV6
KATNBL1,Q9H079
BAIAP2L1,Q9UHR4
KATNBL1,""
TMEM182,Q6ZP80
LIPM,Q5VYY2
FAHD2B,Q6P2I3
LIPN,Q5VXI9
ANKRD36,A6QL64
PYGM,P11217
NEK11,""
PTPRA,""
STRBP,""
FMC1-LUC7L2,""
ZNF561,""
RANBP17,Q9H2T7
COX5B,P10606
ACTR1B,P42025
MAP3K8,P41279
MAP3K8,""
C2orf92,A0A1B0GVN3
C2orf92,""
DTNBP1,Q96EV8
ECH1,Q13011
GALM,Q96C23
DTNBP1,""
GALM,""
ZNF561,Q8N587
