# 2025-02-02 00:00:95
# syndrome_name	chr	start	end	genotype	variant_class	phenotype_names	hpo_accessions	pubmed_ids
2q37 monosomy	2	239048167	239400949	Heterozygous	Deletion	Brachydactyly syndrome|Deeply set eye|Intellectual disability|Round face|Thin upper lip vermilion	HP:0001156|HP:0000490|HP:0001249|HP:0000311|HP:0000219	15173228|15521982
3q29 microdeletion syndrome	3	195999964	197617792	Heterozygous	Deletion	Intellectual disability|Long face|Prominent nasal bridge|Short philtrum	HP:0001249|HP:0000276|HP:0000426|HP:0000322	15918153|16433692|18471269
3q29 microduplication syndrome	3	195999964	197617792	Heterozygous	Duplication			18241066|18471269
7q11.23 duplication syndrome	7	73330452	74728334	Heterozygous	Duplication	Delayed speech and language development|Intellectual disability|Short attention span	HP:0000750|HP:0001249|HP:0000736	16236740|17400790
8p23.1 deletion syndrome	8	8242533	11907120	Heterozygous	Deletion	Abnormality of the heart|Atrioventricular canal defect|Congenital diaphragmatic hernia|Cryptorchidism|Defect in the atrial septum|Hyperactivity|Intellectual disability	HP:0001627|HP:0006695|HP:0000776|HP:0000028|HP:0001631|HP:0000752|HP:0001249	9826897|10090897|10096597|15937941|16141010|18974263
8p23.1 duplication syndrome	8	8242533	11907120	Heterozygous	Duplication	Abnormal facial shape|Behavioural/Psychiatric Abnormality|Delayed speech and language development|Intellectual disability|Malformation of the heart and great vessels	HP:0001999|HP:0000708|HP:0000750|HP:0001249|HP:0002564	11231899|16077733|16909382|17940555|18059266|18393291|18974263|19606479|20167067|20461109|20858604|20969981|21933911|22739795|23165946|23345203|26097203
8q21.11 Microdeletion Syndrome	8	76314229	76854003	Heterozygous	Deletion	Downturned corners of mouth|Exaggerated cupid's bow|Full cheeks|High forehead|Intellectual disability|Low-set ears|Micrognathia|Opacification of the corneal stroma|Prominent ears|Ptosis|Round face|Short philtrum	HP:0002714|HP:0002263|HP:0000293|HP:0000348|HP:0001249|HP:0000369|HP:0000347|HP:0007759|HP:0000412|HP:0000508|HP:0000311|HP:0000322	21802062
9q subtelomeric deletion syndrome	9	137618991	137836126	Heterozygous	Deletion	Abnormality of the heart|Anteverted nares|Intellectual disability|Microcephaly|Midface retrusion|Muscular hypotonia|Protruding tongue|Short nose|Synophrys	HP:0001627|HP:0000463|HP:0001249|HP:0000252|HP:0011800|HP:0001252|HP:0010808|HP:0003196|HP:0000664	12676904|15258833|15264279|15633179|15805160|16470689
Adult-onset autosomal dominant leukodystrophy (ADLD)	5	126776622	126837020	Heterozygous	Duplication	Abnormality of pyramidal motor function|Dysautonomia|Leukodystrophy|Peripheral demyelination	HP:0007256|HP:0002459|HP:0002415|HP:0011096	16951681
Angelman syndrome (Type 1)	15	22677345	28193120	Heterozygous	Deletion	EEG abnormality|Intellectual disability|Microcephaly|Seizures|Truncal ataxia	HP:0002353|HP:0001249|HP:0000252|HP:0001250|HP:0002078	10196695|10424818|10740202|10982040|11748306|12566516|16183798
Angelman syndrome (Type 2)	15	23374765	28193120	Heterozygous	Deletion	EEG abnormality|Intellectual disability|Microcephaly|Seizures|Truncal ataxia	HP:0002353|HP:0001249|HP:0000252|HP:0001250|HP:0002078	10196695|10424818|10740202|10982040|11748306|12566516|16183798
ATR-16 syndrome	16	10001	784372	Heterozygous	Deletion	Abnormality of erythrocytes|Intellectual disability	HP:0001877|HP:0001249	8460633|9375730|11157797
AZFa	Y	12232056	13042949	Hemizygous	Deletion	Oligospermia	HP:0000798	15287977|15890785
AZFb	Y	18006165	23919050	Hemizygous	Deletion	Oligospermia	HP:0000798	12297986|12525536
AZFb+AZFc	Y	17852946	25647683	Hemizygous	Deletion	Oligospermia	HP:0000798	12297986
AZFc	Y	22831278	25887782	Hemizygous	Deletion	Oligospermia	HP:0000798	11687796|12407032
Cat-Eye Syndrome (Type I)	22	1	18527801	Homozygous	Duplication	Abnormality of the heart|Anal atresia|Downslanted palpebral fissures|Intellectual disability|Iris coloboma|Micrognathia|Preauricular pit|Preauricular skin tag|Short stature	HP:0001627|HP:0002023|HP:0000494|HP:0001249|HP:0000612|HP:0000347|HP:0004467|HP:0000384|HP:0004322	11332976|11381032|11693792|11925570|15953404
Charcot-Marie-Tooth syndrome type 1A (CMT1A)	17	14194598	15567589	Heterozygous	Duplication	Abnormality of the motor neurons|Decreased motor nerve conduction velocity|Hypertrophic nerve changes|Impaired pain sensation|Impaired proprioception|Impaired temperature sensation|Impaired vibratory sensation|Pes cavus	HP:0002450|HP:0003431|HP:0003382|HP:0007328|HP:0010831|HP:0010829|HP:0002495|HP:0001761	10586226|11835375|16481890
Cri du Chat Syndrome (5p deletion)	5	10001	12533192	Heterozygous	Deletion	Intellectual disability|Microcephaly|Weak, high-pitched voice	HP:0001249|HP:0000252|HP:0008374	10673328|10678657|11238681
Early-onset Alzheimer disease with cerebral amyloid angiopathy	21	25880549	26171128	Heterozygous	Duplication	Dementia|Neurofibrillary tangles|Senile plaques	HP:0000726|HP:0002185|HP:0100256	16369530|16959815
Familial Adenomatous Polyposis	5	112707504	112846239	Heterozygous	Deletion	Neoplasm of the colon	HP:0100273	11867715|15643602
Hereditary Liability to Pressure Palsies (HNPP)	17	14194598	15567589	Heterozygous	Deletion	Abnormality of the motor neurons|Motor conduction block	HP:0002450|HP:0012078	8422677|10227632|12084875|12682341|14616306
Leri-Weill dyschondrostosis (LWD) - SHOX deletion	X	499823	793142	Heterozygous	Deletion	Disproportionate short-limb short stature|Limited pronation/supination of forearm|Madelung deformity|Radial bowing	HP:0008873|HP:0006394|HP:0003067|HP:0002986	15931595|16572514|16597678|16650979|16826534
Leri-Weill dyschondrostosis (LWD) - SHOX deletion	X	791143	907140	Heterozygous	Deletion	Disproportionate short-limb short stature|Limited pronation/supination of forearm|Madelung deformity|Radial bowing	HP:0008873|HP:0006394|HP:0003067|HP:0002986	15931595|16572514|16597678|16650979|16826534
Miller-Dieker syndrome (MDS)	17	150208	2685615	Heterozygous	Deletion	Abnormality of the heart|Frontal bossing|Lissencephaly|Microcephaly|Midface retrusion	HP:0001627|HP:0002007|HP:0001339|HP:0000252|HP:0011800	12621583|12668601|12796778|12905154|15028671
NF1-microdeletion syndrome	17	30780079	31936302	Heterozygous	Deletion	Abnormality of the heart|Cafe-au-lait spot|Coarse facial features|Hypertelorism|Intellectual disability|Neurofibromas	HP:0001627|HP:0000957|HP:0000280|HP:0000316|HP:0001249|HP:0001067	10587576|14722914|14729829|15257518
Pelizaeus-Merzbacher disease	X	103776510	103792618	Unknown	Duplication	Abnormal CNS myelination|Leukodystrophy|Muscular hypotonia|Nystagmus	HP:0011400|HP:0002415|HP:0001252|HP:0000639	12297985|16207216|16353282|16380909
Potocki-Lupski syndrome (17p11.2 duplication syndrome)	17	16869758	20318836	Heterozygous	Duplication	Autism|Hyperactivity|Short attention span|Short stature	HP:0000717|HP:0000752|HP:0000736|HP:0004322	10615134|12375235|14614393|14709593|14757858|17357070|17597781
Potocki-Shaffer syndrome	11	43973250	46030899	Heterozygous	Deletion	Abnormality of the male genitalia|Delayed cranial suture closure|Intellectual disability|Multiple exostoses|Parietal foramina	HP:0010461|HP:0000270|HP:0001249|HP:0002762|HP:0002697	15852040
Prader-Willi syndrome (Type 1)	15	22677345	28193120	Heterozygous	Deletion	Feeding difficulties in infancy|Hypogonadism|Intellectual disability|Muscular hypotonia|Truncal obesity	HP:0008872|HP:0000135|HP:0001249|HP:0001252|HP:0001956	11332942|12537045|14508708|14693421|14735579|14962980|14991431|14993551
Prader-Willi Syndrome (Type 2)	15	23374765	28193120	Heterozygous	Deletion	Feeding difficulties in infancy|Hypogonadism|Intellectual disability|Muscular hypotonia|Truncal obesity	HP:0008872|HP:0000135|HP:0001249|HP:0001252|HP:0001956	11332942|12537045|14508708|14693421|14735579|14962980|14991431|14993551
RCAD (renal cysts and diabetes)	17	36459259	37856298	Heterozygous	Deletion	Abnormality of the liver|Diabetes mellitus|Multiple renal cysts	HP:0001392|HP:0000819|HP:0005562	15496559|15930087|16249435|16371430|17924346
Recurrent 16p12.1 microdeletion (neurodevelopmental susceptibility locus)	16	21935203	22455963	Heterozygous	Deletion	Delayed speech and language development|Intellectual disability|Microcephaly	HP:0000750|HP:0001249|HP:0000252	20154674|20729854|22970919
Rubinstein-Taybi Syndrome	16	3725054	3880120	Heterozygous	Deletion			
Smith-Magenis Syndrome	17	16869758	20318836	Heterozygous	Deletion	Brachydactyly syndrome|Hoarse voice|Hyperactivity|Intellectual disability|Muscular hypotonia|Self-mutilation|Short stature|Sleep disturbance|Stereotypic behavior	HP:0001156|HP:0001609|HP:0000752|HP:0001249|HP:0001252|HP:0000742|HP:0004322|HP:0002360|HP:0000733	9326934|11769269|12375235|12652298|14614393|14709593|14757858|17597781
Sotos syndrome	5	176297633	177625115	Heterozygous	Deletion	Accelerated skeletal maturation|Intellectual disability|Macrocephaly|Mandibular prognathia|Tall stature	HP:0005616|HP:0001249|HP:0000256|HP:0000303|HP:0000098	11896389|14517949|15640245|15805156|15942875|16969376
Split hand/foot malformation 1 (SHFM1)	7	96688766	96709891	Heterozygous	Deletion	2-3 toe syndactyly|Abnormality of the genital system|Abnormality of the urinary system|Cleft palate|Cutaneous finger syndactyly|Ectrodactyly (feet)|Ectrodactyly (hands)|Lacrimal duct aplasia|Median cleft lip|Sensorineural hearing impairment|Toe syndactyly	HP:0004691|HP:0000078|HP:0000079|HP:0000175|HP:0010554|HP:0001839|HP:0001171|HP:0007925|HP:0000161|HP:0000407|HP:0001770	7912888|7942849|8023840|8279479|8733122|8782053|11168022|12000792|12112878
Steroid sulphatase deficiency (STS)	X	6537771	8165154	Hemizygous	Deletion	Ichthyosiform abnormality of the skin	HP:0008064	9742566|10583107|11910205|12406347|12920363|15009711|15888481
WAGR 11p13 deletion syndrome	11	31784791	32435541	Heterozygous	Deletion	Abnormality of the male genitalia|Aniridia|Intellectual disability|Renal neoplasm	HP:0010461|HP:0000526|HP:0001249|HP:0009726	9132491|12386836|15779010|17130481
Williams-Beuren Syndrome (WBS)	7	73330452	74728334	Heterozygous	Deletion	Aortic valve stenosis|Everted lower lip vermilion|Intellectual disability|Malar flattening|Microdontia|Short attention span|Short stature	HP:0001650|HP:0000232|HP:0001249|HP:0000272|HP:0000691|HP:0000736|HP:0004322	11331709|11685205|12161592|12796854|12952863|14556246|16293761|16532385|16760918
Wolf-Hirschhorn Syndrome	4	1567470	2108509	Heterozygous	Deletion	Intellectual disability|Microcephaly|Muscular hypotonia|Seizures|Small for gestational age	HP:0001249|HP:0000252|HP:0001252|HP:0001250|HP:0001518	10995514|11313750|11332977|11584045|12563561
Xp11.22-linked intellectual disability	X	53374149	53656331	Unknown	Duplication	Intellectual disability	HP:0001249	18252223|22840365
Xp11.22-p11.23 Microduplication	X	48476161	52374518	Unknown	Duplication			19716111
Xq28 (MECP2) duplication	X	154021812	154097731	Unknown	Duplication	Delayed speech and language development|Intellectual disability|Muscular hypotonia|Recurrent infections|Seizures|Spasticity	HP:0000750|HP:0001249|HP:0001252|HP:0002719|HP:0001250|HP:0001257	16080119
Xq28 Microduplication	X	154396222	154653579	Unknown	Duplication			20004760
